,Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Output,Feedback
180,29,2,2,4,3,2,3,560018,No,1
181,23,1,1,1,2,2,3,560109,Yes,0
182,22,2,1,4,5,2,4,560066,Yes,1
183,22,1,1,1,1,2,2,560020,No,1
184,32,2,2,2,1,1,5,560020,Yes,1
185,28,1,2,4,3,3,1,560021,Yes,1
186,22,1,1,1,1,3,2,560009,Yes,1
187,25,1,1,4,4,2,2,560023,Yes,1
188,26,2,2,4,5,3,2,560023,No,0
189,31,1,2,3,3,1,6,560024,Yes,1
190,24,1,1,1,1,3,3,560024,No,0
191,24,1,1,4,5,3,2,560025,Yes,1
192,31,2,2,4,3,4,5,560025,Yes,1
193,26,1,1,4,5,2,2,560029,Yes,1
194,24,2,2,3,3,2,2,560029,Yes,1
195,22,2,1,1,1,2,3,560029,Yes,1
196,19,1,1,1,1,2,6,560030,Yes,1
197,25,1,2,4,3,3,6,560030,Yes,1
198,23,2,2,2,1,1,6,560030,Yes,1
199,23,2,1,1,1,2,2,560032,No,0
200,23,1,1,1,1,3,2,560034,Yes,1
201,24,1,1,1,1,3,5,560104,Yes,1
202,22,2,1,4,5,2,4,560076,Yes,1
203,26,1,2,4,3,2,4,560036,Yes,1
204,25,2,1,1,1,4,3,560036,Yes,1
205,20,1,1,1,1,2,2,560034,Yes,1
206,29,1,2,4,5,2,4,560034,No,0
207,23,2,1,1,1,2,1,560009,Yes,1
208,25,1,1,3,3,2,2,560038,Yes,1
209,29,2,2,4,5,2,4,560038,No,0
210,27,1,2,3,5,2,6,560041,No,0
211,25,1,1,3,4,2,3,560043,Yes,1
212,21,1,1,1,1,2,2,560046,No,0
213,23,1,1,1,1,2,3,560049,Yes,1
214,24,2,1,4,4,3,4,560011,Yes,1
215,32,1,2,3,4,1,3,560008,Yes,0
216,28,1,2,4,5,3,5,560045,Yes,1
217,26,1,1,4,4,2,2,560041,No,0
218,31,2,2,2,1,2,5,560055,Yes,1
219,27,2,2,3,5,2,3,560055,Yes,1
220,21,2,1,1,1,3,1,560041,Yes,1
221,23,2,1,1,1,2,2,560060,No,1
222,26,1,2,4,4,2,4,560060,No,1
223,32,1,2,4,3,2,5,560061,Yes,1
224,25,2,2,1,1,3,2,560062,Yes,1
225,28,1,1,3,4,3,2,560070,Yes,1
226,21,2,1,1,1,3,3,560070,Yes,1
227,24,1,1,1,1,3,2,560075,Yes,1
228,26,2,2,3,4,2,5,560075,No,0
229,32,1,2,4,5,2,3,560075,Yes,1
230,29,1,1,3,3,2,6,560076,Yes,1
231,21,1,1,1,1,2,5,560038,Yes,1
232,24,2,1,3,5,3,3,560080,No,0
233,26,1,0,3,3,3,2,560080,Yes,1
234,25,1,2,4,3,4,3,560085,Yes,1
235,29,1,1,4,5,2,3,560092,No,0
236,22,1,1,1,1,2,3,560096,Yes,1
237,24,1,1,1,1,2,2,560027,Yes,1
238,27,1,2,4,5,2,2,560076,Yes,1
239,23,2,1,1,1,3,3,560095,No,1
240,32,1,2,4,3,3,6,560095,Yes,1
241,22,2,1,1,1,2,2,560095,Yes,1
242,28,1,2,4,5,2,3,560095,Yes,1
243,23,2,1,1,1,3,2,560096,Yes,1
244,30,1,2,3,3,2,1,560097,No,0
245,21,1,1,1,1,2,3,560092,Yes,1
246,26,2,2,4,2,2,6,560093,No,0
247,25,1,1,3,3,1,3,560093,Yes,1
248,31,1,0,4,2,2,1,560091,No,0
249,23,2,1,4,5,3,2,560100,Yes,1
250,29,2,2,4,5,4,3,560100,Yes,1
251,21,1,1,1,1,2,6,560100,Yes,1
252,20,1,1,1,1,2,3,560103,Yes,1
253,22,1,1,4,4,2,2,560103,Yes,1
254,30,2,2,2,1,1,6,560042,No,1
255,27,1,2,3,3,2,3,560079,Yes,1
256,23,1,1,1,1,3,2,560009,No,0
257,30,1,2,3,5,1,6,560059,No,0
258,23,1,1,1,1,3,3,560067,Yes,1
259,28,2,2,4,5,3,6,560067,No,0
260,30,1,2,3,3,2,6,560067,Yes,1
261,24,2,2,4,5,3,2,560018,Yes,0
262,21,1,1,1,1,2,2,560018,No,0
263,23,2,0,4,4,2,3,560020,No,0
264,25,1,2,3,3,3,4,560043,Yes,1
265,24,2,1,4,5,2,2,560068,Yes,1
266,26,1,2,4,4,2,3,560068,No,0
267,25,2,1,4,5,3,2,560067,Yes,1
268,22,1,1,1,5,2,3,560038,Yes,1
269,26,2,1,4,5,3,2,560038,Yes,1
270,23,1,1,4,4,2,2,560021,Yes,1
271,21,2,1,4,2,2,2,560021,No,0
272,25,1,2,3,5,2,3,560027,Yes,1
273,24,2,2,4,4,3,2,560027,Yes,1
274,22,1,2,1,1,2,2,560014,Yes,1
275,23,2,1,1,1,3,4,560024,Yes,1
276,24,1,2,4,3,3,3,560056,Yes,1
277,22,2,1,1,1,2,2,560056,Yes,1
278,30,1,2,4,3,2,5,560072,No,0
279,23,2,0,4,4,2,4,560036,Yes,1
280,19,1,1,1,1,2,6,560036,Yes,1
281,21,2,1,1,1,2,2,560080,Yes,1
282,23,1,1,1,1,2,4,560080,Yes,1
283,24,2,1,4,5,2,3,560068,Yes,1
284,26,2,2,4,4,3,2,560042,No,1
285,26,2,1,1,1,4,2,560023,Yes,1
286,25,2,1,1,4,2,2,560023,Yes,1
287,28,2,2,4,5,2,5,560023,No,0
288,25,2,1,1,1,3,3,560014,Yes,1
289,20,2,1,1,1,2,2,560014,Yes,1
290,27,2,2,3,3,2,6,560014,No,1
291,25,2,2,4,5,2,3,560015,No,1
292,24,2,1,1,1,3,5,560015,No,0
293,25,2,2,4,3,2,1,560009,No,0
294,25,2,0,4,5,3,3,560005,No,0
295,24,2,2,1,2,4,5,560015,Yes,1
296,24,1,1,1,1,3,3,560015,Yes,1
297,22,1,1,4,4,2,1,560006,Yes,1
298,28,1,1,4,5,3,2,560006,No,0
299,25,2,1,4,3,3,6,560012,No,0
300,22,1,1,1,2,3,3,560017,Yes,0
301,22,2,1,1,1,2,6,560019,Yes,1
302,22,1,1,1,2,3,4,560010,Yes,1
303,27,2,2,4,3,3,2,560103,Yes,1
304,22,1,1,1,1,2,3,560009,Yes,1
305,24,2,1,1,1,3,3,560042,Yes,1
306,23,2,1,1,1,3,2,560001,Yes,1
307,23,2,1,1,1,3,4,560048,Yes,1
308,22,2,1,1,1,3,5,560010,Yes,1
309,23,1,1,1,2,3,2,560009,Yes,0
310,32,1,2,4,3,2,5,560061,Yes,1
311,25,2,2,1,1,3,2,560062,Yes,1
312,28,1,1,3,4,3,2,560070,Yes,1
313,21,2,1,1,1,3,3,560070,Yes,1
314,24,1,1,1,1,3,2,560075,Yes,1
315,26,2,2,3,4,2,5,560075,No,0
316,32,1,2,4,5,2,3,560075,Yes,1
317,29,1,1,3,3,2,6,560076,Yes,1
318,21,1,1,1,1,2,5,560038,Yes,1
319,24,2,1,3,5,3,3,560080,No,0
320,26,1,0,3,3,3,2,560080,Yes,1
321,21,1,2,4,3,4,3,560085,Yes,1
322,29,1,1,4,5,2,3,560092,No,0
323,22,1,1,1,1,2,3,560096,Yes,1
324,24,1,1,1,1,2,2,560027,Yes,1
325,27,1,2,4,5,2,2,560076,Yes,1
326,23,2,1,1,1,3,3,560095,No,1
327,32,1,2,4,3,3,6,560095,Yes,1
328,22,2,1,1,1,2,2,560095,Yes,1
329,22,2,1,4,5,2,4,560076,Yes,1
330,26,1,2,4,3,2,4,560036,Yes,1
331,25,2,1,1,1,4,3,560036,Yes,1
332,20,1,1,1,1,2,2,560034,Yes,1
333,29,1,2,4,5,2,4,560034,No,0
334,23,2,1,1,1,2,1,560009,Yes,1
335,25,1,1,3,3,2,2,560038,Yes,1
336,29,2,2,4,5,2,4,560038,No,0
337,27,1,2,3,5,2,6,560041,No,1
338,25,1,1,3,4,2,3,560043,Yes,1
339,21,1,1,1,1,2,2,560046,No,0
340,23,1,1,1,1,2,3,560049,Yes,1
341,24,2,1,4,4,3,4,560011,Yes,1
342,22,1,2,3,4,1,3,560008,Yes,0
343,28,1,2,4,5,3,5,560045,Yes,1
344,26,1,1,4,4,2,2,560041,No,0
345,22,2,1,4,5,2,4,560076,Yes,1
346,26,1,2,4,3,2,4,560036,Yes,1
347,25,2,1,1,1,4,3,560036,Yes,1
348,20,1,1,1,1,2,2,560034,Yes,1
349,29,1,2,4,5,2,4,560034,No,0
350,23,2,1,1,1,2,1,560009,Yes,1
351,25,1,1,3,3,2,2,560038,Yes,1
352,29,2,2,4,5,2,4,560038,No,1
353,27,1,2,3,5,2,6,560041,No,1
354,25,1,1,3,4,2,3,560043,Yes,1
355,21,1,1,1,1,2,2,560046,No,1
356,24,1,1,1,1,3,2,560075,Yes,1
357,26,2,2,3,4,2,5,560075,No,0
358,32,1,2,4,5,2,3,560075,Yes,1
359,29,1,1,3,3,2,6,560076,Yes,1
360,21,1,1,1,1,2,5,560038,Yes,1
361,24,2,1,3,5,3,3,560080,No,0
362,26,1,0,3,3,3,2,560080,Yes,1
363,31,1,2,4,3,4,3,560085,Yes,1
364,29,1,1,4,5,2,3,560092,No,0
365,22,1,1,1,1,2,3,560096,Yes,1
366,24,1,1,1,1,2,2,560027,Yes,1
367,27,1,2,4,5,2,2,560076,Yes,1
368,23,2,1,1,1,3,3,560095,No,1
369,30,1,2,4,3,3,6,560095,Yes,1
370,22,2,1,1,1,2,2,560095,Yes,1
371,28,1,2,4,5,2,3,560095,Yes,1
372,23,2,1,1,1,3,2,560096,Yes,1
373,30,1,2,3,3,2,1,560097,No,0
374,21,1,1,1,1,2,3,560092,Yes,0
375,26,2,2,4,2,2,6,560093,No,0
376,25,1,1,3,3,1,3,560093,Yes,1
377,31,1,0,4,2,2,1,560091,No,0
378,23,2,1,4,5,3,2,560100,Yes,1
379,22,1,1,1,2,3,4,560010,Yes,1
380,27,2,2,4,3,3,2,560103,Yes,1
381,22,1,1,1,1,2,3,560009,Yes,1
382,24,2,1,1,1,3,3,560042,Yes,1
383,23,2,1,1,1,3,2,560001,Yes,1
384,23,2,1,1,1,3,4,560048,Yes,1
385,22,2,1,1,1,3,5,560010,Yes,1
386,23,1,1,1,2,3,2,560009,Yes,1
387,23,1,1,1,1,3,5,560078,Yes,1
